yearOfRelease,Quantity
12/31/2003,5
12/31/2004,0
12/31/2005,2
12/31/2006,5
12/31/2007,0
12/31/2008,7
12/31/2009,0
12/31/2010,5
12/31/2011,6
12/31/2012,20
12/31/2013,18
12/31/2014,10
12/31/2015,29
12/31/2016,111
12/31/2017,16
